sID,MXene,SWNT,AuNP,PVA,conductance,LRR,class
bDS-E101,0,0,0,1,0,0,B
bDS-E102,0.1,0,0,0.9,0.000186916,0.26815656,B
bDS-E103,0.2,0,0,0.8,0.000316456,0.285627841,B
bDS-E104,0.3,0,0,0.7,0.000592066,0.309578989,B
bDS-E105,0.4,0,0,0.6,0.001015228,0.333575389,B
bDS-E106,0.5,0,0,0.5,0.001385042,0.349099714,B
bDS-E107,0.6,0,0,0.4,0.00304878,0.395426231,B
bDS-E108,0.7,0,0,0.3,0.004065041,0.415241012,B
bDS-E109,0.8,0,0,0.2,0.006289308,0.448855859,B
bDS-E10A,0.9,0,0,0.1,0.008064516,0.470122582,A
bDS-E10B,1,0,0,0,0.04,0.647639852,A
bDS-E10C,0,0.1,0,0.9,0,0,B
bDS-E10D,0.1,0.1,0,0.8,9.04977E-05,0.247294895,B
bDS-E10E,0.2,0.1,0,0.7,0.000178571,0.266740439,B
bDS-E10F,0.3,0.1,0,0.6,0.000326797,0.286768087,B
bDS-E110,0.4,0.1,0,0.5,0.000433839,0.297216479,B
bDS-E111,0.5,0.1,0,0.4,0.000646412,0.313254884,B
bDS-E112,0.6,0.1,0,0.3,0.001152074,0.339732245,B
bDS-E113,0.7,0.1,0,0.2,0.004545455,0.423418814,B
bDS-E114,0.8,0.1,0,0.1,0.005405405,0.436674623,B
bDS-E115,0.9,0.1,0,0,0.015151515,0.531684801,A
bDS-E116,0,0.2,0,0.8,6.66667E-05,0.239441774,B
bDS-E117,0.1,0.2,0,0.7,0.00025974,0.278816578,B
bDS-E118,0.2,0.2,0,0.6,0.000529101,0.304993946,B
bDS-E119,0.3,0.2,0,0.5,0.000564972,0.307652549,B
bDS-E11A,0.4,0.2,0,0.4,0.002597403,0.385119433,B
bDS-E11B,0.5,0.2,0,0.3,0.003289474,0.40049186,B
bDS-E11C,0.6,0.2,0,0.2,0.003787879,0.410214242,B
